Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,JobRole,MonthlyIncome,TotalWorkingYears
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,Female,Sales Executive,5993,8
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,Male,Research Scientist,5130,10
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,Male,Laboratory Technician,2090,7
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,Female,Research Scientist,2909,8
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,Male,Laboratory Technician,3468,6
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,Male,Laboratory Technician,3068,8
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,Female,Laboratory Technician,2670,12
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,Male,Laboratory Technician,2693,1
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,Male,Manufacturing Director,9526,10
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,Male,Healthcare Representative,5237,17
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,Male,Laboratory Technician,2426,6
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,Female,Laboratory Technician,4193,10
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,Male,Research Scientist,2911,5
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,Male,Laboratory Technician,2661,3
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,Male,Laboratory Technician,2028,6
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,Female,Manufacturing Director,9980,10
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,Male,Research Scientist,3298,7
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,Male,Laboratory Technician,2935,1
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,Female,Manager,15427,31
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,Male,Research Scientist,3944,6
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,Female,Manufacturing Director,4011,5
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,Male,Sales Representative,3407,10
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,Female,Research Director,11994,13
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,Male,Research Scientist,1232,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,Male,Research Scientist,2960,8
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,Female,Manager,19094,26
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,Female,Research Scientist,3919,10
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,Male,Sales Executive,6825,10
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,Female,Healthcare Representative,10248,24
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,Female,Manager,18947,22
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,Male,Laboratory Technician,2496,7
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,Male,Healthcare Representative,6465,9
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,Male,Laboratory Technician,2206,10
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,Male,Sales Representative,2086,19
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,Male,Research Scientist,2293,6
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,Female,Research Scientist,2645,6
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,Male,Sales Representative,2683,3
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,Female,Sales Representative,2014,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,Female,Research Scientist,3419,6
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,Female,Sales Executive,5376,10
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,Male,Laboratory Technician,1951,1
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,Female,Laboratory Technician,2341,1
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,Male,Laboratory Technician,2293,1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,Male,Sales Executive,8726,9
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,Female,Laboratory Technician,4011,12
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,Female,Research Director,19545,23
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,Male,Sales Executive,4568,10
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,Male,Research Scientist,3022,8
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,Male,Sales Executive,5772,14
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,Male,Laboratory Technician,2269,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,Male,Laboratory Technician,5381,23
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,Male,Laboratory Technician,3441,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,Female,Sales Executive,5454,9
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,Male,Healthcare Representative,9884,10
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,Female,Sales Executive,4157,5
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,Female,Research Director,13458,15
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,Male,Sales Executive,9069,9
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,Female,Laboratory Technician,4014,4
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,Male,Laboratory Technician,5915,10
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,Male,Manufacturing Director,5993,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,Male,Manufacturing Director,6162,9
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,Female,Laboratory Technician,2406,10
